Site,Date,Depth,chl,Source
98_osh,2020-01-01,5,1.6258544921875,MY
98_osh,2020-01-01,10,1.6256519556045532,MY
98_osh,2020-01-01,15,1.625460147857666,MY
98_osh,2020-01-01,20,1.625187635421753,MY
98_osh,2020-01-01,30,1.623108983039856,MY
98_osh,2020-01-01,40,1.5612763166427612,MY
98_osh,2020-01-01,50,1.5599373579025269,MY
98_osh,2020-01-02,5,1.6526505947113037,MY
98_osh,2020-01-02,10,1.652507185935974,MY
98_osh,2020-01-02,15,1.6523891687393188,MY
98_osh,2020-01-02,20,1.6522865295410156,MY
98_osh,2020-01-02,30,1.653068780899048,MY
98_osh,2020-01-02,40,1.5896759033203125,MY
98_osh,2020-01-02,50,1.5883448123931885,MY
98_osh,2020-01-03,5,1.663242220878601,MY
98_osh,2020-01-03,10,1.6631232500076294,MY
98_osh,2020-01-03,15,1.6630198955535889,MY
98_osh,2020-01-03,20,1.6629371643066406,MY
98_osh,2020-01-03,30,1.664038062095642,MY
98_osh,2020-01-03,40,1.6071782112121582,MY
98_osh,2020-01-03,50,1.6061605215072632,MY
98_osh,2020-01-04,5,1.660977840423584,MY
98_osh,2020-01-04,10,1.6608644723892212,MY
98_osh,2020-01-04,15,1.660749077796936,MY
98_osh,2020-01-04,20,1.660683035850525,MY
98_osh,2020-01-04,30,1.6623724699020386,MY
98_osh,2020-01-04,40,1.6141752004623413,MY
98_osh,2020-01-04,50,1.6138556003570557,MY
98_osh,2020-01-05,5,1.6729049682617188,MY
98_osh,2020-01-05,10,1.6727392673492432,MY
98_osh,2020-01-05,15,1.6725566387176514,MY
98_osh,2020-01-05,20,1.6723512411117554,MY
98_osh,2020-01-05,30,1.6734367609024048,MY
98_osh,2020-01-05,40,1.6342471837997437,MY
98_osh,2020-01-05,50,1.6336402893066406,MY
98_osh,2020-01-06,5,1.690679669380188,MY
98_osh,2020-01-06,10,1.6903772354125977,MY
98_osh,2020-01-06,15,1.6900745630264282,MY
98_osh,2020-01-06,20,1.6897242069244385,MY
98_osh,2020-01-06,30,1.6883093118667605,MY
98_osh,2020-01-06,40,1.6607939004898071,MY
98_osh,2020-01-06,50,1.657924771308899,MY
98_osh,2020-01-07,5,1.6993064880371094,MY
98_osh,2020-01-07,10,1.6989729404449463,MY
98_osh,2020-01-07,15,1.6983624696731567,MY
98_osh,2020-01-07,20,1.6968324184417725,MY
98_osh,2020-01-07,30,1.684163212776184,MY
98_osh,2020-01-07,40,1.6640130281448364,MY
98_osh,2020-01-07,50,1.6423568725585938,MY
98_osh,2020-01-08,5,1.628443479537964,MY
98_osh,2020-01-08,10,1.6284188032150269,MY
98_osh,2020-01-08,15,1.6280195713043213,MY
98_osh,2020-01-08,20,1.6266037225723269,MY
98_osh,2020-01-08,30,1.6116979122161863,MY
98_osh,2020-01-08,40,1.6005619764328003,MY
98_osh,2020-01-08,50,1.5853675603866575,MY
98_osh,2020-01-09,5,1.5787709951400757,MY
98_osh,2020-01-09,10,1.578927993774414,MY
98_osh,2020-01-09,15,1.5790513753890991,MY
98_osh,2020-01-09,20,1.5790120363235474,MY
98_osh,2020-01-09,30,1.5702458620071411,MY
98_osh,2020-01-09,40,1.54240083694458,MY
98_osh,2020-01-09,50,1.526550531387329,MY
98_osh,2020-01-10,5,1.6285715103149414,MY
98_osh,2020-01-10,10,1.6279600858688354,MY
98_osh,2020-01-10,15,1.626740336418152,MY
98_osh,2020-01-10,20,1.6228381395339966,MY
98_osh,2020-01-10,30,1.562721610069275,MY
98_osh,2020-01-10,40,1.46053147315979,MY
98_osh,2020-01-10,50,1.427811622619629,MY
98_osh,2020-01-11,5,1.6784809827804563,MY
98_osh,2020-01-11,10,1.675937294960022,MY
98_osh,2020-01-11,15,1.672737956047058,MY
98_osh,2020-01-11,20,1.665358066558838,MY
98_osh,2020-01-11,30,1.5613279342651367,MY
98_osh,2020-01-11,40,1.3297933340072632,MY
98_osh,2020-01-11,50,1.3089039325714111,MY
98_osh,2020-01-12,5,1.6701171398162842,MY
98_osh,2020-01-12,10,1.667843461036682,MY
98_osh,2020-01-12,15,1.6653108596801758,MY
98_osh,2020-01-12,20,1.661243200302124,MY
98_osh,2020-01-12,30,1.6326093673706057,MY
98_osh,2020-01-12,40,1.283190131187439,MY
98_osh,2020-01-12,50,1.2184306383132937,MY
98_osh,2020-01-13,5,1.5969856977462769,MY
98_osh,2020-01-13,10,1.5943585634231567,MY
98_osh,2020-01-13,15,1.5915534496307373,MY
98_osh,2020-01-13,20,1.5874351263046265,MY
98_osh,2020-01-13,30,1.575034260749817,MY
98_osh,2020-01-13,40,1.412730693817139,MY
98_osh,2020-01-13,50,1.301950216293335,MY
98_osh,2020-01-14,5,1.5601918697357178,MY
98_osh,2020-01-14,10,1.5590860843658447,MY
98_osh,2020-01-14,15,1.5579383373260498,MY
