Site,Date,Depth,Temp
98_osh,2020-01-01,5,7.805017255246639
98_osh,2020-01-01,10,7.805017255246639
98_osh,2020-01-01,15,7.805017255246639
98_osh,2020-01-01,20,7.805017255246639
98_osh,2020-01-01,30,7.805017255246639
98_osh,2020-01-01,40,7.805017255246639
98_osh,2020-01-01,50,7.805017255246639
98_osh,2020-01-02,5,7.695150621235371
98_osh,2020-01-02,10,7.695150621235371
98_osh,2020-01-02,15,7.695150621235371
98_osh,2020-01-02,20,7.695150621235371
98_osh,2020-01-02,30,7.695150621235371
98_osh,2020-01-02,40,7.695150621235371
98_osh,2020-01-02,50,7.695150621235371
98_osh,2020-01-03,5,7.618243977427483
98_osh,2020-01-03,10,7.618243977427483
98_osh,2020-01-03,15,7.618243977427483
98_osh,2020-01-03,20,7.618243977427483
98_osh,2020-01-03,30,7.618243977427483
98_osh,2020-01-03,40,7.618243977427483
98_osh,2020-01-03,50,7.618243977427483
98_osh,2020-01-04,5,7.545731998980045
98_osh,2020-01-04,10,7.545731998980045
98_osh,2020-01-04,15,7.545731998980045
98_osh,2020-01-04,20,7.545731998980045
98_osh,2020-01-04,30,7.545731998980045
98_osh,2020-01-04,40,7.545731998980045
98_osh,2020-01-04,50,7.545731998980045
98_osh,2020-01-05,5,7.474684908986092
98_osh,2020-01-05,10,7.474684908986092
98_osh,2020-01-05,15,7.474684908986092
98_osh,2020-01-05,20,7.474684908986092
98_osh,2020-01-05,30,7.474684908986092
98_osh,2020-01-05,40,7.474684908986092
98_osh,2020-01-05,50,7.474684908986092
98_osh,2020-01-06,5,7.413159593939781
98_osh,2020-01-06,10,7.413159593939781
98_osh,2020-01-06,15,7.413159593939781
98_osh,2020-01-06,20,7.413159593939781
98_osh,2020-01-06,30,7.413159593939781
98_osh,2020-01-06,40,7.413159593939781
98_osh,2020-01-06,50,7.413159593939781
98_osh,2020-01-07,5,7.382396936416626
98_osh,2020-01-07,10,7.383129380643368
98_osh,2020-01-07,15,7.382396936416626
98_osh,2020-01-07,20,7.382396936416626
98_osh,2020-01-07,30,7.380932047963142
98_osh,2020-01-07,40,7.380932047963142
98_osh,2020-01-07,50,7.380932047963142
98_osh,2020-01-08,5,7.32673117518425
98_osh,2020-01-08,10,7.328928507864475
98_osh,2020-01-08,15,7.331125840544701
98_osh,2020-01-08,20,7.331858284771442
98_osh,2020-01-08,30,7.33918272703886
98_osh,2020-01-08,40,7.339915171265602
98_osh,2020-01-08,50,7.339915171265602
98_osh,2020-01-09,5,7.305490292608738
98_osh,2020-01-09,10,7.305490292608738
98_osh,2020-01-09,15,7.305490292608738
98_osh,2020-01-09,20,7.305490292608738
98_osh,2020-01-09,30,7.305490292608738
98_osh,2020-01-09,40,7.305490292608738
98_osh,2020-01-09,50,7.305490292608738
98_osh,2020-01-10,5,7.284981854259968
98_osh,2020-01-10,10,7.284981854259968
98_osh,2020-01-10,15,7.283516965806484
98_osh,2020-01-10,20,7.282784521579742
98_osh,2020-01-10,30,7.278389856219292
98_osh,2020-01-10,40,7.282052077353001
98_osh,2020-01-10,50,7.282052077353001
98_osh,2020-01-11,5,6.932676181197166
98_osh,2020-01-11,10,6.932676181197166
98_osh,2020-01-11,15,6.942930400371552
98_osh,2020-01-11,20,6.9568468406796455
98_osh,2020-01-11,30,7.082094803452492
98_osh,2020-01-11,40,7.148014783859253
98_osh,2020-01-11,50,7.197088547050953
98_osh,2020-01-12,5,5.520523712038994
98_osh,2020-01-12,10,6.094759985804558
98_osh,2020-01-12,15,6.416303001344204
98_osh,2020-01-12,20,6.510788306593895
98_osh,2020-01-12,30,6.797173999249935
98_osh,2020-01-12,40,6.909970410168171
98_osh,2020-01-12,50,7.047669924795628
98_osh,2020-01-13,5,4.528061784803867
98_osh,2020-01-13,10,5.663350336253643
98_osh,2020-01-13,15,5.995880015194416
98_osh,2020-01-13,20,6.0991546511650085
98_osh,2020-01-13,30,6.46391187608242
98_osh,2020-01-13,40,6.642628267407417
98_osh,2020-01-13,50,6.819879770278931
98_osh,2020-01-14,5,3.961882397532463
98_osh,2020-01-14,10,5.100833170115948
98_osh,2020-01-14,15,5.6267281249165535
98_osh,2020-01-14,20,5.782006300985813
98_osh,2020-01-14,30,6.239783942699432
98_osh,2020-01-14,40,6.419965222477913
98_osh,2020-01-14,50,6.647022932767868
98_osh,2020-01-15,5,3.5919980630278587
98_osh,2020-01-15,10,4.764641270041466
98_osh,2020-01-15,15,5.463393062353134
98_osh,2020-01-15,20,5.656025893986225
98_osh,2020-01-15,30,6.098422206938267
