Site,Date,Depth,Temp
99_sik,2020-01-01,5,8.113376274704933
99_sik,2020-01-01,10,8.113376274704933
99_sik,2020-01-01,15,8.113376274704933
99_sik,2020-01-01,20,8.113376274704933
99_sik,2020-01-01,30,8.113376274704933
99_sik,2020-01-01,40,8.113376274704933
99_sik,2020-01-01,50,8.115573607385159
99_sik,2020-01-01,65,8.115573607385159
99_sik,2020-01-01,80,8.130954936146736
99_sik,2020-01-02,5,7.973479427397251
99_sik,2020-01-02,10,7.973479427397251
99_sik,2020-01-02,15,7.973479427397251
99_sik,2020-01-02,20,7.973479427397251
99_sik,2020-01-02,30,7.973479427397251
99_sik,2020-01-02,40,7.973479427397251
99_sik,2020-01-02,50,7.974944315850735
99_sik,2020-01-02,65,7.974944315850735
99_sik,2020-01-02,80,7.993255421519279
99_sik,2020-01-03,5,7.871669679880142
99_sik,2020-01-03,10,7.871669679880142
99_sik,2020-01-03,15,7.871669679880142
99_sik,2020-01-03,20,7.871669679880142
99_sik,2020-01-03,30,7.871669679880142
99_sik,2020-01-03,40,7.871669679880142
99_sik,2020-01-03,50,7.872402124106884
99_sik,2020-01-03,65,7.872402124106884
99_sik,2020-01-03,80,7.888515897095203
99_sik,2020-01-04,5,7.759605713188648
99_sik,2020-01-04,10,7.759605713188648
99_sik,2020-01-04,15,7.759605713188648
99_sik,2020-01-04,20,7.759605713188648
99_sik,2020-01-04,30,7.759605713188648
99_sik,2020-01-04,40,7.759605713188648
99_sik,2020-01-04,50,7.759605713188648
99_sik,2020-01-04,65,7.759605713188648
99_sik,2020-01-04,80,7.778649263083935
99_sik,2020-01-05,5,7.6468093022704124
99_sik,2020-01-05,10,7.6468093022704124
99_sik,2020-01-05,15,7.6468093022704124
99_sik,2020-01-05,20,7.6468093022704124
99_sik,2020-01-05,30,7.647541746497154
99_sik,2020-01-05,40,7.647541746497154
99_sik,2020-01-05,50,7.647541746497154
99_sik,2020-01-05,65,7.647541746497154
99_sik,2020-01-05,80,7.663655519485474
99_sik,2020-01-06,5,7.509842231869698
99_sik,2020-01-06,10,7.509842231869698
99_sik,2020-01-06,15,7.509842231869698
99_sik,2020-01-06,20,7.509842231869698
99_sik,2020-01-06,30,7.509842231869698
99_sik,2020-01-06,40,7.509842231869698
99_sik,2020-01-06,50,7.509842231869698
99_sik,2020-01-06,65,7.510574676096439
99_sik,2020-01-06,80,7.538407556712627
99_sik,2020-01-07,5,7.418286703526974
99_sik,2020-01-07,10,7.418286703526974
99_sik,2020-01-07,15,7.418286703526974
99_sik,2020-01-07,20,7.418286703526974
99_sik,2020-01-07,30,7.41682181507349
99_sik,2020-01-07,40,7.415356926620007
99_sik,2020-01-07,50,7.415356926620007
99_sik,2020-01-07,65,7.415356926620007
99_sik,2020-01-07,80,7.45344402641058
99_sik,2020-01-08,5,7.297433406114578
99_sik,2020-01-08,10,7.300363183021545
99_sik,2020-01-08,15,7.304025404155254
99_sik,2020-01-08,20,7.306955181062221
99_sik,2020-01-08,30,7.325266286730766
99_sik,2020-01-08,40,7.331858284771442
99_sik,2020-01-08,50,7.332590728998184
99_sik,2020-01-08,65,7.364085830748081
99_sik,2020-01-08,80,7.384594269096851
99_sik,2020-01-09,5,7.078432582318783
99_sik,2020-01-09,10,7.078432582318783
99_sik,2020-01-09,15,7.094546355307102
99_sik,2020-01-09,20,7.129703678190708
99_sik,2020-01-09,30,7.186101883649826
99_sik,2020-01-09,40,7.221991650760174
99_sik,2020-01-09,50,7.250556975603104
99_sik,2020-01-09,65,7.362620942294598
99_sik,2020-01-09,80,7.344309836626053
99_sik,2020-01-10,5,6.258827492594719
99_sik,2020-01-10,10,6.3269448056817055
99_sik,2020-01-10,15,6.474898539483547
99_sik,2020-01-10,20,6.545945629477501
99_sik,2020-01-10,30,6.866023756563664
99_sik,2020-01-10,40,6.972228169441223
99_sik,2020-01-10,50,7.104800574481487
99_sik,2020-01-10,65,7.403637818992138
99_sik,2020-01-10,80,7.307687625288963
99_sik,2020-01-11,5,4.682607516646385
99_sik,2020-01-11,10,5.063478514552116
99_sik,2020-01-11,15,5.631855234503746
99_sik,2020-01-11,20,5.8193609565496445
99_sik,2020-01-11,30,6.403119005262852
99_sik,2020-01-11,40,6.923886850476265
99_sik,2020-01-11,50,7.090151689946652
99_sik,2020-01-11,65,7.541337333619595
99_sik,2020-01-11,80,7.334055617451668
99_sik,2020-01-12,5,3.703329585492611
99_sik,2020-01-12,10,4.16110722720623
99_sik,2020-01-12,15,4.99536120146513
99_sik,2020-01-12,20,5.168950483202934
99_sik,2020-01-12,30,5.746116533875465
99_sik,2020-01-12,40,6.729056686162949
99_sik,2020-01-12,50,6.940733067691326
99_sik,2020-01-12,65,7.5904110968112946
99_sik,2020-01-12,80,7.3208716213703156
99_sik,2020-01-13,5,3.709921583533287
99_sik,2020-01-13,10,3.942838847637177
99_sik,2020-01-13,15,4.739005722105503
99_sik,2020-01-13,20,4.998290978372097
99_sik,2020-01-13,30,5.48609883338213
99_sik,2020-01-13,40,6.74590290337801
99_sik,2020-01-13,50,6.994201496243477
99_sik,2020-01-13,65,7.60066531598568
99_sik,2020-01-13,80,7.29010896384716
99_sik,2020-01-14,5,3.933317072689533
99_sik,2020-01-14,10,4.29587696492672
99_sik,2020-01-14,15,5.113284721970558
99_sik,2020-01-14,20,5.314706884324551
99_sik,2020-01-14,30,5.812036514282227
99_sik,2020-01-14,40,6.762016676366329
99_sik,2020-01-14,50,7.047669924795628
99_sik,2020-01-14,65,7.593340873718262
99_sik,2020-01-14,80,7.303292959928513
99_sik,2020-01-15,5,4.224097430706024
99_sik,2020-01-15,10,4.990966536104679
99_sik,2020-01-15,15,5.459730841219425
99_sik,2020-01-15,20,5.614276573061943
99_sik,2020-01-15,30,6.201696842908859
99_sik,2020-01-15,40,6.72978913038969
99_sik,2020-01-15,50,6.943662844598293
99_sik,2020-01-15,65,7.525956004858017
99_sik,2020-01-15,80,7.289376519620418
99_sik,2020-01-16,5,4.173558779060841
99_sik,2020-01-16,10,4.675283074378967
99_sik,2020-01-16,15,5.427503295242786
99_sik,2020-01-16,20,5.701437436044216
99_sik,2020-01-16,30,6.632374048233032
99_sik,2020-01-16,40,6.857966870069504
99_sik,2020-01-16,50,6.9465926215052605
99_sik,2020-01-16,65,7.378734715282917
99_sik,2020-01-16,80,7.230780981481075
99_sik,2020-01-17,5,3.6425367146730414
99_sik,2020-01-17,10,4.0724814757704735
99_sik,2020-01-17,15,5.195318475365639
99_sik,2020-01-17,20,5.631855234503746
99_sik,2020-01-17,30,6.721732243895531
99_sik,2020-01-17,40,6.918027296662331
99_sik,2020-01-17,50,6.989074386656284
99_sik,2020-01-17,65,7.276192523539066
99_sik,2020-01-17,80,7.110660128295422
99_sik,2020-01-18,5,3.7040620297193527
99_sik,2020-01-18,10,4.205786325037479
99_sik,2020-01-18,15,5.139652714133263
99_sik,2020-01-18,20,5.329355768859386
99_sik,2020-01-18,30,6.388470120728016
99_sik,2020-01-18,40,6.8030335530638695
99_sik,2020-01-18,50,6.837458431720734
99_sik,2020-01-18,65,7.168523222208023
99_sik,2020-01-18,80,6.981749944388866
99_sik,2020-01-19,5,3.517288751900196
99_sik,2020-01-19,10,4.217505432665348
99_sik,2020-01-19,15,4.982177205383778
99_sik,2020-01-19,20,5.106692723929882
99_sik,2020-01-19,30,5.730002760887146
99_sik,2020-01-19,40,6.43095188587904
99_sik,2020-01-19,50,6.684377588331699
99_sik,2020-01-19,65,7.044007703661919
99_sik,2020-01-19,80,6.907773077487946
99_sik,2020-01-20,5,2.63542590290308
99_sik,2020-01-20,10,3.3759270161390305
